filename,number,role,character,text
projects/OrionEp6/サウンド類/Narration/OrionEp6-001-NA.mp3,001,NA,NA,営業成績トップなのに、飲み会には呼ばれない——そんな孤独を感じたことはありませんか？
projects/OrionEp6/サウンド類/Narration/OrionEp6-002-NA.mp3,002,NA,NA,この孤立は、優秀さの代償なのか、それともチームワークの失敗なのか？
projects/OrionEp6/サウンド類/Narration/OrionEp6-003-NA.mp3,003,NA,NA,最強の戦士アキレウスの孤独と、アリの群知能研究が明かす、『個と集団のバランス』を見つける8分間。
projects/OrionEp6/サウンド類/Narration/OrionEp6-004-NA.mp3,004,NA,NA,深夜のオフィスビル。最上階の会議室に、一人残って資料を作る影。窓の外には、無数の光が都市の夜景を彩っています。
projects/OrionEp6/サウンド類/Narration/OrionEp6-005-NA.mp3,005,NA,NA,その一室で、今月もトップの成績を上げた営業部のエースが、独りモニターに向かっています。19時、同僚たちが連れ立って居酒屋へ向かう声が聞こえてきました。誰も、彼を誘いませんでした。
projects/OrionEp6/サウンド類/Narration/OrionEp6-006-NA.mp3,006,NA,NA,古代の知恵と現代の悩み。個と集団の永遠の問い。時代を超えた星々を結んで、新しい視座を見つける——ここは、オリオンの会議室。
projects/OrionEp6/サウンド類/Narration/OrionEp6-007-NA.mp3,007,NA,NA,今夜結ぶのは、こんな星座。トロイア戦争最強の戦士アキレウス、「和」を重んじた孔子、民主主義を観察したアレクシ・ド・トクヴィル、集団心理を解明したマクシミリアン・リンゲルマン——
projects/OrionEp6/サウンド類/Narration/OrionEp6-008-NA.mp3,008,NA,NA,英雄と凡人、個人と集団、栄光と孤独。相反する星々が、ひとつの物語を紡ぎ始めます。
projects/OrionEp6/サウンド類/Narration/OrionEp6-009-NA.mp3,009,NA,NA,月曜日の朝礼。先月の成績発表。
projects/OrionEp6/サウンド類/Narration/OrionEp6-010-DL.mp3,010,DL,部長,「今月のMVPは、またしても山田君だ！」
projects/OrionEp6/サウンド類/Narration/OrionEp6-011-NA.mp3,011,NA,NA,拍手。でも、その音がどこか空虚に響く。
projects/OrionEp6/サウンド類/Narration/OrionEp6-012-NA.mp3,012,NA,NA,昼休み。いつものメンバーがランチに出かけていく。山田は誘われない。「どうせ忙しいでしょ？」という配慮なのか、それとも——
