no,character,text,scene,lead_in_sec
1,ナレーター,5時起きの朝活を続けられない自分に、罪悪感を感じたことはありませんか？,[00:00-01:00] アバン,0.0
2,ナレーター,この罪悪感は、怠惰の証なのか、それとも体内時計の正直なサインなのか？,[00:00-01:00] アバン,0.0
3,ナレーター,ようこそ、オリオンの会議室へ。今夜のテーマは「朝活の呪い」。,[00:00-01:00] アバン,0.0
4,ナレーター,古今東西の叡智を星座のように結び、現代の悩みに新しい視座を見つける8分間。,[00:00-01:00] アバン,0.0
5,ナレーター,"今夜の星々——古代ギリシャの哲学者が語った「良さは日々の積み重ねから育つ」という考え、日本の禅や芸道が伝える「型は目的ではなく通路」という知恵、現代の時間生物学が明らかにした「人それぞれに合う時間帯」という事実、そして20世紀フランスの思想家が指摘した「社会の""当たり前""が私たちを型にはめる」仕組み。",[00:00-01:00] アバン,0.0
6,ナレーター,万人の正解ではなく、あなたの最適解を探る物語を紡ぎ始めます。,[00:00-01:00] アバン,0.0
7,ナレーター,月曜日の朝、オフィスの給湯室。,[01:00-01:30] 日常への没入,3.0
8,同僚A,「今朝も5時起きで2時間勉強したよ。もう3ヶ月続いてる。」,[01:00-01:30] 日常への没入,0.0
9,あなた,「すごい...私なんて目覚ましさえ聞こえなかった。」,[01:00-01:30] 日常への没入,0.0
10,ナレーター,デスクに積まれた自己啓発書。『7つの習慣』『モーニング・ルーティン』『朝の黄金時間術』——どれも最初の数ページで挫折。,[01:00-01:30] 日常への没入,0.0
11,上司,「成功者はみんな朝型だからね。」,[01:00-01:30] 日常への没入,0.0
12,ナレーター,その言葉が、さらに罪悪感を深めていく。朝活できない自分は、成功から取り残されているのか——。,[01:00-01:30] 日常への没入,0.0
13,ナレーター,紀元前4世紀、アテネ。回廊を歩きながら講義する哲学者——アリストテレス。,[01:30-03:00] 古代ギリシャへの旅,3.0
14,ナレーター,彼が伝えたのは、**「よい性格は、よい行いの反復から育つ」**というごく実践的な考えでした。,[01:30-03:00] 古代ギリシャへの旅,0.0
15,ナレーター,紀元前4世紀、アテネ。回廊を歩きながら講義する哲学者——アリストテレス。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,3.0
16,ナレーター,弟子たちが彼に問いかけます。「どうすれば幸福な人生を送れるのか」と。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
17,アリストテレス,「我々が為すべきことを学ぶには、実際に為すことによって学ぶのである。たとえば、人は建築することによって建築家となり、竪琴を奏でることによって竪琴奏者となる。同様に、正義の行為を為すことによって我々は正義の人となり、節制ある行為によって節制ある人となり、勇敢な行為によって勇敢な人となるのだ」アリストテレス『ニコマコス倫理学』第2巻。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
18,ナレーター,つまり——よい性格は、よい行いの反復から育つ。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
19,ナレーター,"ここでのポイントは""気合""ではなく、手に馴染むまでの反復。アリストテレスは、徳を「身についた構え」——ギリシャ語で言えば""ヘクシス""——のようなものとして考えました。クセのついた握り方や、体に入ったフォームと言えば、少し実感が湧くでしょうか。",[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
20,ナレーター,もう一つの鍵は、**「正しさは機械的な真ん中ではない」**ということ。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
21,ナレーター,"勇気を例にすると、無謀と臆病のちょうど50対50ではなく、その人・その場にふさわしい加減が""ちょうどよい""。兵士と詩人、親と新人——状況が違えば""よい加減""も変わる。",[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
22,ナレーター,アリストテレスはこれを「私たちに相対的な中庸」と表現しました。要は、自分の器量・役割・状況に合わせて整える技術なのです。,[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
23,ナレーター,"朝型か夜型かより先に、自分に合った""よい加減""を反復で育てる。それがアリストテレスの助言です。",[01:30-03:00] 古代ギリシアへの旅（改稿・コラム風）,0.0
24,ナレーター,一方、鎌倉時代の日本。禅僧・道元は説きました。,[03:00-04:00] 東洋の響き,3.0
25,道元,「仏道をならふといふは、自己をならふ也。」,[03:00-04:00] 東洋の響き,0.0
26,ナレーター,修行とは、師匠の真似をすることではない。自分自身と向き合い、深く知ること。,[03:00-04:00] 東洋の響き,0.0
27,ナレーター,朝活も同じではないでしょうか。誰かの5時起きを真似るのではなく、自分のリズムを知ることが、本当の修行なのかもしれません。,[03:00-04:00] 東洋の響き,0.0
28,ナレーター,日本の芸道には、「守・破・離」という修行の段階があります。,[03:00-04:00] 東洋の響き,0.0
29,ナレーター,まず型を守り、次に型を破り、やがて型から離れて自在になる。,[03:00-04:00] 東洋の響き,0.0
30,ナレーター,型は目的ではなく、通路。朝活という「型」も同じ。5時起きという形式に縛られるのではなく、自分に合った時間を見つける通路として使う。,[03:00-04:00] 東洋の響き,0.0
31,ナレーター,道元の言葉と、芸道の知恵。どちらも同じことを指しているようです。他人の型をなぞることが、修行ではないのだと。,[03:00-04:00] 東洋の響き,0.0
32,ナレーター,21世紀、時間生物学は驚くべき事実を明らかにしました。,[04:00-05:00] 現代科学の証明,3.0
33,【テロップ,2017年ノーベル生理学・医学賞体内時計の分子メカニズム研究】人間には遺伝的に決まった「クロノタイプ」があります。朝型（ヒバリ型）は人口の約25%、夜型（フクロウ型）は約25%、中間型が約50%。,[04:00-05:00] 現代科学の証明,0.0
34,ナレーター,これは意志の力では変えられません。時計遺伝子の変異によって、体内時計のリズムが決まっているのです。,[04:00-05:00] 現代科学の証明,0.0
35,【テロップ,Roennebergetal.(2003)CurrentBiology誌】ノーベル賞を受賞した体内時計研究が示すのは、自分のリズムに逆らうことの危険性。夜型の人が無理に朝型生活をすると、認知機能の低下やうつ病リスクの増加が報告されています。,[04:00-05:00] 現代科学の証明,0.0
36,ナレーター,さらに興味深いのは、創造性のピークタイム。朝型の人は午前中、夜型の人は夕方から夜にかけて創造性が高まる傾向があります。,[04:00-05:00] 現代科学の証明,0.0
37,ナレーター,つまり、「朝活」が万人に有効という考えは、科学的には疑問視される可能性があるのです。,[04:00-05:00] 現代科学の証明,0.0
38,ナレーター,20世紀フランスの哲学者ミシェル・フーコーは、「規律訓練」という概念で近代社会を分析しました。,[05:00-06:00] フーコーの警告,3.0
39,ナレーター,学校、工場、軍隊——これらの施設は、人々を「従順な身体」に作り変える装置だと。,[05:00-06:00] フーコーの警告,0.0
40,ミシェル・フーコー『監獄の誕生』,「権力は禁止するのではなく、生産する。正常と異常を作り出すことで。」,[05:00-06:00] フーコーの警告,0.0
41,ナレーター,朝活ブームも、この視点で見ると違う顔を見せます。「成功者は朝型」という言説が、朝型を「正常」、夜型を「異常」として分類する。,[05:00-06:00] フーコーの警告,0.0
42,ナレーター,そして人々は、自ら進んで「正常」になろうとする。これこそ、フーコーが指摘した近代権力の巧妙さです。,[05:00-06:00] フーコーの警告,0.0
43,ナレーター,自己啓発は解放のように見えて、新たな規律化の側面も持っているかもしれません。「自由に生きる」ために、かえって不自由な習慣に縛られる皮肉。,[05:00-06:00] フーコーの警告,0.0
44,ナレーター,では、どうすればいいのでしょうか。,[06:00-07:00] 実践への架橋,3.0
45,ナレーター,アリストテレスの「中庸」は、自分にとっての最適点を見つけることを教えます。他人の5時起きではなく、あなたの最高の時間を。,[06:00-07:00] 実践への架橋,0.0
