Speaker Name,イン点,アウト点,文字起こし,色選択
とうはた,00:01:20:02,00:01:29:08,ここ僕も初めて見ました。東京に私僕オフィスもこの辺。なんせ増上寺って範囲なんですよね。,Violet
えま,00:01:29:10,00:01:33:07,ここの入り口そのものはもう結構すごいというか。,Violet
とうはた,00:01:33:09,00:01:36:15,ですよね。,Violet
えま,00:01:36:17,00:01:37:12,そう。,Violet
えま,00:01:37:14,00:01:40:00,こんなとこあるね。,Violet
とうはた,00:01:40:02,00:01:43:02,文豪とか何かね。,Violet
えま,00:01:43:04,00:01:45:23,でね、浄土宗とか書いてあったの。,Violet
とうはた,00:01:45:23,00:01:50:07,あ、そうなんですか。さんの浄土宗。,Violet
えま,00:01:50:09,00:02:00:06,第2代か何かがあるとか、徳川家のなるほどね、よくあれを受けてここまで大きく発展してますが、東京。,Violet
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
とうはた,00:04:54:02,00:04:58:12,わかりました。山里雑談得意なんです。,Rose
えま,00:04:58:14,00:04:59:21,普段雑談しかして。,Rose
えま,00:04:59:21,00:05:01:16,ないような感じで。,Rose
とうはた,00:05:01:18,00:05:03:11,僕雑談全然できないですよ。,Rose
えま,00:05:03:13,00:05:08:07,そうですか。プロのスイッチが入っちゃって聞くモードになっちゃうとかそういう感じで。,Rose
とうはた,00:05:08:10,00:05:20:11,完全が僕に焦点を当てているじゃないですか。何か役割あるか、役割ない人と共にいるっていうのがね。,Rose
えま,00:05:20:13,00:05:21:07,いるのが。,Rose
えま,00:05:21:09,00:05:22:20,いるのが。,Rose
とうはた,00:05:22:22,00:05:30:08,ほんとそうですよ。雑談大事だみたいな本も書いてあるんですけど、自分ができないから書いてんだよね。,Rose
えま,00:05:30:10,00:05:47:15,中でもそれこそコロナになった時にみんなで雑談がなくなったっていう話をしましたよね。だから雑談にせず、何かたまたまそこの場にいる人にちょっととかって言って、ああ、そういえばあの検査でそこでちょっとが1時間くらいになるみたいな話。,Rose
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_2
とうはた,00:07:58:02,00:08:03:21,上司や人事を始めて。,Mango
とうはた,00:08:03:23,00:08:10:22,上司はハマってるんですよね。念仏を唱えてて言うか、極楽行けるみたいな話じゃないです。,Mango
えま,00:08:10:22,00:08:13:08,か、踊り念仏というか。正蔵そう。,Mango
とうはた,00:08:13:08,00:08:14:24,そう。修行とかいらない。,Mango
えま,00:08:15:04,00:08:18:17,浄土真宗。そっちは浄土真宗も。,Mango
とうはた,00:08:18:19,00:08:20:08,浄土教もそう。,Mango
えま,00:08:20:10,00:08:22:04,親鸞とかの編。,Mango
とうはた,00:08:22:06,00:08:26:04,親鸞は念仏すらも。,Mango
えま,00:08:26:06,00:08:27:18,念仏はとりあえずいる中で。,Mango
とうはた,00:08:27:18,00:08:31:22,それがよくないですか。ちょっと自力が残っているぐらいのお金頼りっていう。,Mango
えま,00:08:31:22,00:08:33:13,か。,Mango
とうはた,00:08:33:15,00:08:36:17,全部人に委ねられてるというのはちょっと怖いですよね。,Mango
えま,00:08:36:17,00:08:38:23,ちょっとしたら。,Mango
えま,00:08:39:00,00:08:43:07,ローリスクハイリターンみたいな。そうでもないし。,Mango
えま,00:08:43:07,00:08:45:15,そうそうすと、はい。そうそうそう。,Mango
えま,00:08:45:17,00:08:49:15,そう。お寺でする話じゃないです、僕は。,Mango
とうはた,00:08:49:15,00:08:51:11,だからそこ浄土宗を尊敬してますよ。,Mango
えま,00:08:51:13,00:08:57:24,お寺は一般的にはそういうふうにして信徒を集めてくるわけですからね。ご利益がありますよっていう。,Mango
とうはた,00:08:58:03,00:09:09:03,何か修行系もあるんですよ。何ですか、高野山とか、あと頑張って修行すると浄土行けるみたいな話を念仏いいんだよって。,Mango
えま,00:09:09:09,00:09:10:20,そうですね。鎌倉仏教あたり。,Mango
えま,00:09:10:24,00:09:13:06,そうなりましたよね。なんかね。,Mango
とうはた,00:09:13:08,00:09:32:04,そういう優しい考え方だなと、なるほど思って逆に言うと、ほら、平安仏教ってのは、何か留学してきたお坊さんとかが、まさに東京大学のように高野山を作り、エリートが修行して離脱するみたいな。それがもう物理でやっ。,Mango
えま,00:09:32:04,00:09:33:01,て。,Mango
えま,00:09:33:03,00:09:34:06,一般の人には。,Mango
えま,00:09:34:08,00:09:37:20,そうそうそう難しいことないよ。そうそう。,Mango
えま,00:09:37:20,00:09:41:16,そう。1枚なんか唱えたり1枚活動したら、もうそれだけで許さ。,Mango
えま,00:09:41:16,00:09:49:05,れそうな的な。そうそうそうそう、嫌がるでも免罪符にそうそう。でもそれそれ。,Mango
えま,00:09:49:05,00:09:50:16,は何かこうあれです。,Mango
えま,00:09:50:16,00:09:51:19,か。,Mango
えま,00:09:51:21,00:09:56:01,あるとやっぱりいいなって思うのは、気安さがいい。,Mango
えま,00:09:56:01,00:09:56:21,んですか。,Mango
とうはた,00:09:56:23,00:09:58:17,それが優しいじゃないですか。,Mango
えま,00:09:58:19,00:10:00:11,そんなに優しい。,Mango
とうはた,00:10:00:13,00:10:01:01,上に。,Mango
えま,00:10:01:06,00:10:03:19,ために僕みたいさんが。,Mango
とうはた,00:10:03:21,00:10:28:19,やって南無阿弥陀仏って心の中で唱えてみるんですよ。そうすると他のことを考えながら、音が何か意味を持たないじゃないですか。キリスト教とかだと手にはします。意味があっちゃうんだけど、南無阿弥陀仏だともうそれしかないから、何か心が穏やかになり、お前さんそれねと関わるんですよ。,Mango
とうはた,00:10:28:21,00:10:49:15,飛行機乗ってて僕揺れるとめっちゃ怖いですよ。パニックみたいな感じだったんですけど、まず南無阿弥陀仏を唱えて、心を落ち着けて、でも落ち着かなかったから、ちゃんとに飛行機ってどれぐらいの確率で落ちるんですか？って聞いたんですよ。そしたら何万分の長いです。すごい少ないですよ。,Mango
とうはた,00:10:49:17,00:10:52:09,そんなこと聞いて来て、何か起きているんですか？って聞かれたら。,Mango
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_3
とうはた,00:11:46:17,00:11:48:19,だから全然雑談ができないんですよ。,Teal
えま,00:11:48:19,00:11:53:09,でも、南無阿弥陀仏が大事だっていう話は、この場所じゃなきゃ出ないです。,Teal
とうはた,00:11:53:09,00:11:55:13,そうですね。浄土宗だったから。,Teal
えま,00:11:55:13,00:11:59:14,ご想像した。,Teal
D,00:11:59:16,00:12:00:24,話をしますか？,Teal
えま,00:12:01:01,00:12:04:21,お寺。,Teal
とうはた,00:12:04:23,00:12:06:16,的に寺はどうですか？,Teal
えま,00:12:06:18,00:12:09:09,仲良AIで。,Teal
えま,00:12:09:11,00:12:11:15,ブッダを作ろうだとか。,Teal
とうはた,00:12:11:17,00:12:12:01,あります。,Teal
えま,00:12:12:01,00:12:17:17,よね。ありますよね、そういうプロジェクトとかね。あとは何でしょうね、心の平安みたいな。,Teal
えま,00:12:17:19,00:12:18:24,と。,Teal
えま,00:12:19:01,00:12:25:05,ありますけれども、人の仕事をそういうAIにどのくらい。,Teal
えま,00:12:25:05,00:12:26:04,置き換えられるの。,Teal
えま,00:12:26:04,00:12:27:05,かみたいなのは。,Teal
えま,00:12:27:05,00:12:30:04,あるかもしれないですけれどもね。ただ。,Teal
えま,00:12:30:06,00:12:36:13,あんまり人もいなかったですね。お寺の中に。,Teal
えま,00:12:36:15,00:12:42:24,結構な頻度で。だからそういう念仏あげたりとか、そういうのをやってたりする。ちょうど念仏でいいの。,Teal
とうはた,00:12:42:24,00:12:48:13,念仏念仏、念仏、念仏。,Teal
えま,00:12:48:15,00:12:56:15,とかはね、やっぱりなんだかんだ言って専門家じゃないとわかりにくいから言うこと。これこれこれはどういう手段が効くとか、悪。,Teal
とうはた,00:12:56:17,00:12:58:15,さをやっていていいですか。,Teal
えま,00:12:58:17,00:13:01:22,と。ポパーちゃんとかよろしいですね。,Teal
えま,00:13:01:24,00:13:04:13,声色とはちょっと。,Teal
