Speaker Name,イン点,アウト点,文字起こし,色選択
舟津2,00:00:02:03,00:00:08:19,しかもそっちの方がより適切。,Violet
舟津2,00:00:08:21,00:00:12:01,そうで。,Violet
舟津2,00:00:12:03,00:00:32:00,自由な時間がある程度自由を獲得していく方向の援助を続けて、そうじゃなく、そして今、私たちはそうしませんなんてらしいの。,Violet
にわもと2,00:00:32:02,00:00:57:03,だから日本が結構変わって、でジョブ型に移行する。そういうことをやりつつでとか何か言いつつ今から絶対行こうというのがちょっとずつやっぱりこうなってきてるのが、それだったら。,Violet
にわもと2,00:00:57:05,00:01:03:02,いけないんですけど、この。,Violet
にわもと2,00:01:03:04,00:01:08:09,落としどころを見つけないと。,Violet
舟津2,00:01:08:11,00:01:14:11,飯を食う話で疑問があるの。,Violet
舟津2,00:01:14:13,00:01:41:12,は確かにすぐ良くなるという前提にがないので、正直なところ。だから人材を自社で抱え込む時代じゃないと言っても、他の会社にもないわけじゃないんですか。正直。そうすると教育は。,Violet
舟津2,00:01:41:14,00:01:50:11,どんなに貴重な人材を。,Violet
舟津2,00:01:50:13,00:01:56:04,思うだろうと思いつつ。,Violet
舟津2,00:01:56:06,00:02:15:13,ちょっとどういう状況に置かれているというか。しかもそれを恐らくは自覚できないし、していないというのも怖いなと。ケアされ過ぎている部分がある。,Violet
舟津2,00:02:15:15,00:02:27:10,本当にどうしたらいい人たちを教えることがもったいないと思っちゃってる。,Violet
舟津2,00:02:27:12,00:02:30:13,そのその。,Violet
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
にわもと2,00:04:50:00,00:05:03:08,私のイメージだと、やっぱりこう。統治機構をしっかりとしていきましょうということで、それは。,Rose
にわもと2,00:05:03:10,00:05:38:11,株式会社である以上は、株主、投資家に説明できるようにしてなきゃいけないが、株主価値を最大にし、そこでの方法をちゃんとしていくっていうことなのかなって。ステークホルダーだけど、組織の中の従業員は結構多くて、そこに向けた。,Rose
にわもと2,00:05:38:13,00:05:48:18,いいことをちゃんとやっていきましょう。やりくりしながら、いいことをやっていきましょう。意味合いが強いのかな。,Rose
にわもと2,00:05:48:20,00:05:54:00,ハード面だけ。,Rose
にわもと2,00:05:54:02,00:05:57:04,にしていますけど。,Rose
舟津2,00:05:57:06,00:06:04:15,僕、今、経営管理っていう面ですごくいいじゃない。,Rose
にわもと2,00:06:04:18,00:06:06:19,です。,Rose
舟津2,00:06:06:21,00:06:18:08,経営はマネジメントで、管理はあるんですけど、ビジネスマネジメントするんですよ。,Rose
舟津2,00:06:18:10,00:06:29:21,と。言わなくてはと思うんですよ。多分、管理っていうニュアンスがあるので、それをコントロール。,Rose
にわもと2,00:06:29:23,00:06:31:07,でき。,Rose
舟津2,00:06:31:09,00:06:39:11,そうですねね。すごく面白い話が。多分ニュアンスはご本人。,Rose
舟津2,00:06:39:12,00:06:53:14,が僕にビジネスのみたいな授業をされて、向こうでリーダーシップとモチベーションので。,Rose
舟津2,00:06:53:16,00:06:56:06,その。,Rose
D,00:06:56:08,00:06:58:01,いかにもそう。,Rose
舟津2,00:06:58:03,00:07:14:04,そうなんですよ。社会経済だと言われているので、僕はですね、あの時にこれって。,Rose
舟津2,00:07:14:06,00:07:28:08,ある意味忘れられない側面ですよね。でもそれはやっぱりそうだ。,Rose
舟津2,00:07:28:10,00:08:08:23,結局そこから我々は逃れられないのかもしんない。でも、それこそ優しい夢物語ではないですかって。そういう面はあんまり捉えないんですよね。すごく的な言葉がよく好まれる。制度にするとか、そういうこと。そう。でも、法の強制力で従わなかったら罰を与える。,Rose
舟津2,00:08:09:01,00:08:24:09,結局何かそこに戻ってくるのかなっていうのは僕も。あれおかしいと思うんかなという気もして。,Rose
舟津2,00:08:24:11,00:08:46:03,マネジメント、アドミニストレーション、管理、そういう違いがあるのかなとか、ちょっと最初の話に戻るんですけど、マネジメントってどういう意味か。このように自分ですごいいいなと思った訳は、説明を何とかやりくりすることですね。,Rose
にわもと2,00:08:46:06,00:08:49:02,マネージみたいな。,Rose
舟津2,00:08:49:04,00:09:00:21,そうです、そうですよ。つまり、経営とか経営者って何とかする。,Rose
舟津2,00:09:00:23,00:09:17:06,それ調整するもんで、スタッフの仕事だし。だから必要なんですよね。そんな仕事にいかにもその方であっても大企業ではないで。,Rose
にわもと2,00:09:17:08,00:09:24:10,みんなですよね。左右っていうのが。,Rose
にわもと2,00:09:24:12,00:09:28:20,表面だけしか。,Rose
にわもと2,00:09:28:22,00:09:35:09,しないから。こう導入したところで。,Rose
舟津2,00:09:35:11,00:09:44:23,それをする機能を持っているようなもので。,Rose
舟津2,00:09:45:00,00:09:51:01,はない。,Rose
舟津2,00:09:51:03,00:09:57:14,常にマネージャーで、そこででいる。何度かない。,Rose
舟津2,00:09:57:16,00:10:02:13,そういう全員がやっぱり。,Rose
舟津2,00:10:02:15,00:10:30:11,そんな明確なルールがなくて何をするの？会社が面白いなと思いますし。だから私の及ばないガバナンスを達成するために何とかやりくりしないといけないというのもあるの。,Rose
にわもと2,00:10:30:12,00:10:34:01,面白いですね。ガバナンス。,Rose
舟津2,00:10:34:03,00:11:14:15,が、ガバナンス。そうすると、経営の話って生み出しにくいですよね。単純で未来インセンティブあるでしょうし。も守ってどうやっ。それが本当の良いところで、やっぱりほんとは誰でも分かるような、誰でも分かるシンプルな何人。,Rose
舟津2,00:11:14:17,00:11:31:12,とか、年齢分布。って感じのない過ぎて実務からそれこそ出てくるように。,Rose
舟津2,00:11:31:14,00:11:41:03,するんですよね。それを続けて限界がある。それ絶大なるんですよ。,Rose
にわもと2,00:11:41:05,00:11:44:12,それは思います。,Rose
にわもと2,00:11:44:13,00:12:08:09,からは絶対こう創造性とか革新性だからこそ、いわゆるイノベーティブな結果っていうのがあるし、いろいろやりくりして、いろいろ挑戦して、いろんなことをいろんなを通して創造して生まれるのかなと。,Rose
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_2
舟津2,00:12:08:11,00:12:15:14,おそらく本当に思います。若い人。,Lavender
舟津2,00:12:15:16,00:12:47:07,から、ちょっと比喩的過ぎるかものというか、こういうルールを守るぞって感じでさっとこなしていくけど、それは面白くないのではない。,Lavender
D,00:12:47:09,00:12:55:01,若い人。,Lavender
D,00:12:55:03,00:13:44:02,ものをしたいとか、それ。,Lavender
舟津2,00:13:44:04,00:13:46:11,は。,Lavender
舟津2,00:13:46:13,00:14:18:05,ちょっと私を自分で勉強しなさいと言われてるようで、何をやったらいいのかと。やっぱりそこのシステムを、つまり今後は上来るから、この先もっとと言うじゃないですか。それたくさん言いますかね。,Lavender
舟津2,00:14:18:07,00:14:22:03,の。,Lavender
舟津2,00:14:22:05,00:14:39:04,そういう態度も多いなということを、私、就活ハックの試合みたいな、先回りしてこう聞かれるから、こういう風。,Lavender
舟津2,00:14:39:06,00:14:55:15,からすると不本意だと思うんですけど、最近よく聞かれるのが、自分の中に。,Lavender
舟津2,00:14:55:17,00:15:00:00,こんな。,Lavender
舟津2,00:15:00:02,00:15:06:21,いかにでっちあげる偉そうな話で。,Lavender
舟津2,00:15:06:23,00:15:53:11,今日の授業でも、授業の最後のアンケートで今日は何かこう、例えばクレームが来て何か適当に乗り切ろうとするとすごい腹が出して来たんですけど、そういう対応能力が求められる中で、とはいえ、何か制度をハックすればいけるのではないかって、僕は多分それは大した力にはならない、というかそんなことないですが、それこそ僕なんかの授業に参加する。,Lavender
舟津2,00:15:53:13,00:16:06:10,2回、10年を思わないじゃん。それよりも何て言うかよく。,Lavender
舟津2,00:16:06:12,00:16:23:09,これ方は皆言いますね。そういう意味で絶対分からない。見えないのならし、これはすごく面白いなというのを。,Lavender
舟津2,00:16:23:11,00:16:25:23,ある。,Lavender
舟津2,00:16:26:01,00:16:38:16,からいいじゃないですかというのを。思ってたら多分来なくて、いつもするです。,Lavender
にわもと2,00:16:38:18,00:16:42:11,時間がある。,Lavender
にわもと2,00:16:42:13,00:16:44:09,んだから。,Lavender
D,00:16:44:11,00:16:58:11,本当に。,Lavender
