Speaker Name,イン点,アウト点,文字起こし,色選択
みまき2,00:00:01:17,00:00:14:23,でも、ここでできた。,Violet
岡本2,00:00:15:00,00:00:21:02,やってみたら十分。結構面白い。,Violet
みまき2,00:00:21:04,00:00:24:09,ですか。,Violet
岡本2,00:00:24:11,00:00:29:03,何？,Violet
岡本2,00:00:29:05,00:00:33:16,が信じられない。,Violet
みまき2,00:00:33:18,00:00:37:08,ような検証するんですか？,Violet
岡本2,00:00:37:08,00:01:11:12,それを聞いてから初めて分かったんですけど。だから要は、別に日本でもいいですし、ヨーロッパでもいいんですけど、工場じゃないですか。そうすると両方に記録が残るところを見ますと、今。の建物はアメリカの資料にこの会話をこういうふうに書いてあります。それで。,Violet
岡本2,00:01:11:14,00:01:15:04,発言内容も違う。,Violet
吉田2,00:01:15:06,00:01:17:19,そういう技が先行するから、そういう。,Violet
岡本2,00:01:17:19,00:01:32:14,結果に双方がイデオロギーが嘘をつくとかいうよりも、あって互いが違うに対する違いがそもそも。,Violet
岡本2,00:01:32:16,00:01:52:01,通じないとか、あるいはこうであるだとか、いろんなレベルが嘘をついているとか、あるいは何か隠してると思うんですけど、ただ。,Violet
岡本2,00:01:52:03,00:02:00:10,同じ翻訳上、それが今の我々の違うということになれば。,Violet
吉田2,00:02:00:12,00:02:01:13,面白いですね。,Violet
岡本2,00:02:01:13,00:02:27:04,それでそういうことばっかりやっか、そういう話ですよね。だから、よくこういう場でいろんな。中国の研究の資料には。,Violet
みまき2,00:02:27:06,00:02:33:15,いろんな報告をあるそうです。信じていることは。,Violet
岡本2,00:02:33:17,00:02:49:02,みんなが共産党の下で。下手に出ると多分交わらないので。,Violet
岡本2,00:02:49:04,00:02:55:15,でも。,Violet
岡本2,00:02:55:17,00:03:07:21,民主化するな。言っても聞かないです。独立するのは聞かないですね。それは。,Violet
岡本2,00:03:07:23,00:03:27:01,いいですし、相撲の動画がある一方的なイデオロギーの国です。これができない日が続いてきているのでという話。,Violet
吉田2,00:03:27:03,00:03:29:24,できると思いますが。,Violet
岡本2,00:03:30:01,00:03:32:23,しないと。,Violet
吉田2,00:03:33:00,00:03:41:08,なっちゃうという意味で、これをもう。,Violet
吉田2,00:03:41:10,00:03:46:03,永遠に感じないで。,Violet
岡本2,00:03:46:05,00:03:53:02,まとまってきているのがあって、ついで。,Violet
岡本2,00:03:53:04,00:04:02:05,システムだな。勢力がまとまっているんだとか、今です。,Violet
岡本2,00:04:02:07,00:04:09:01,わけですけれども、ただ一応。,Violet
岡本2,00:04:09:03,00:04:18:22,言うわけです。情報は。そういうのがあるので。,Violet
岡本2,00:04:18:24,00:04:22:02,自覚をして。,Violet
岡本2,00:04:22:04,00:05:03:05,要求を漏洩があることのようなので、それは近代の運営をしていると、それなりの文脈がなという感じがします。そういう我々中国を見るときに、必ず一面を見ない部分があって、香港の民主化、台湾の独立など、そういうふうに、あるいはそれに力。,Violet
岡本2,00:05:03:07,00:05:10:10,が、しかし、両方とも中国な。,Violet
