Speaker Name,イン点,アウト点,文字起こし,色選択
D1,00:19:34:15,00:19:39:04,東京駅。,Violet
岡本1,00:19:39:06,00:19:44:14,東京にわざわざお見えになるわけですから。,Violet
岡本1,00:19:44:16,00:19:50:03,おかしなコースがないですから。,Violet
みまき1,00:19:50:05,00:19:53:23,どこ？,Violet
吉田1,00:19:54:00,00:20:01:04,生まれてる。,Violet
吉田1,00:20:01:06,00:20:14:06,でもここもオリンピック前後ぐらいから本当に日本で動いてるので、私も夜ぐらいから。,Violet
岡本1,00:20:14:08,00:20:16:11,終わった後。,Violet
吉田1,00:20:16:13,00:20:21:04,現在進行形でよ。,Violet
岡本1,00:20:21:06,00:20:23:24,ずっと変わり続ける。,Violet
みまき1,00:20:24:01,00:20:25:10,か分からないです。,Violet
吉田1,00:20:25:12,00:20:29:08,が、福島の。,Violet
吉田1,00:20:29:10,00:20:32:20,終わる。,Violet
みまき1,00:20:32:22,00:20:34:11,変わらないところもあるんです。,Violet
吉田1,00:20:34:13,00:20:38:23,でもあそこも工事してるしね。,Violet
岡本1,00:20:39:00,00:20:49:06,丸の内もこれだって新聞社建築です。怒らないといけ。,Violet
みまき1,00:20:49:08,00:20:53:02,渋谷どんどん。,Violet
吉田1,00:20:53:04,00:20:55:07,導線が完全。,Violet
岡本1,00:20:55:09,00:20:56:14,分かるんですが。,Violet
吉田1,00:20:56:16,00:21:02:24,動いたりして必ず迷います。,Violet
岡本1,00:21:03:01,00:21:10:06,気持ちが動くっていうのはよく分かると思います。,Violet
吉田1,00:21:10:08,00:21:21:10,はいはい。今年もちょっと離れると何か。は。,Violet
吉田1,00:21:21:12,00:21:23:18,かも。,Violet
吉田1,00:21:23:20,00:21:27:23,しんない。,Violet
みまき1,00:21:28:00,00:21:33:01,その側としての。,Violet
吉田1,00:21:33:03,00:21:43:11,バランスができて変わった。お店の種類が。,Violet
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
みまき1,00:22:44:23,00:22:48:20,どういうマンションを払っての。,Rose
吉田1,00:22:48:22,00:22:50:06,袋を言う。,Rose
岡本1,00:22:50:09,00:22:54:08,のです。,Rose
岡本1,00:22:54:10,00:22:57:04,それ。,Rose
吉田1,00:22:57:06,00:23:01:03,言われ。,Rose
D1,00:23:01:05,00:23:04:03,てる。,Rose
吉田1,00:23:04:05,00:23:06:22,怒られます。,Rose
みまき1,00:23:06:24,00:23:12:20,3サイクル。,Rose
岡本1,00:23:12:22,00:23:23:11,そういうの私何も。,Rose
岡本1,00:23:23:13,00:23:33:09,ですが。,Rose
吉田1,00:23:33:11,00:23:42:05,今先進国と都市と地方との対立。それが日本でも。,Rose
D1,00:23:42:07,00:23:44:22,そういう話をしているよう。,Rose
みまき1,00:23:44:24,00:23:48:15,な話なので。,Rose
岡本1,00:23:48:17,00:23:49:03,そうですね。,Rose
みまき1,00:23:49:07,00:23:55:06,今まで日本でいやいや。,Rose
吉田1,00:23:55:08,00:23:58:09,地方に文化です。,Rose
岡本1,00:23:58:11,00:24:08:11,日本。,Rose
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_2
みまき1,00:35:23:15,00:35:30:03,最初は最近のニュース。,Mango
岡本1,00:35:30:05,00:35:47:11,ニュースです。,Mango
みまき1,00:35:47:13,00:35:56:12,最近のニュースは世界だ。,Mango
みまき1,00:35:56:14,00:36:22:17,撮影した。収録した。収録。収録。ちょうど昨日解説が開催されてました。専門にされているヨーロッパのアメリカ人が。,Mango
吉田1,00:36:22:19,00:36:46:03,かなりですけど。ただ、アメリカの大統領が。そうなんですか。それってかなり例外的かなと思うんですけど、もう少しのところでいうと、今上容疑者に容疑者というか、判決が。,Mango
吉田1,00:36:46:05,00:37:13:07,あるんだけど、ロスジェネの世代なので、やっぱり話があって気の毒だったんだけれども、ああいう犯行に及んだんだけど、まだそれを十分に、接見もそうだと思うんですけれども、なぜああいうことが起きたのかっていうのが理論整然整然と納得感がないんですね。,Mango
岡本1,00:37:13:09,00:37:16:04,政治家の方ですか。,Mango
吉田1,00:37:16:06,00:37:43:15,少し議論する機運もないし、議論するとノイズが、これは安倍の評価を含めてでも、あれをやっぱりオウム事件もそうですけれども、どういうふうにやっぱりあの事件をきちんと理解してくるのかっていうのがやっぱりいいんじゃないかなとは思っています。,Mango
みまき1,00:37:43:17,00:37:50:05,私、いろいろ議論があるんです。,Mango
みまき1,00:37:50:07,00:38:05:15,が。ってことじゃないんですが、だけど、すごい特異な経験で、実はその宗教家、何か。,Mango
みまき1,00:38:05:17,00:38:09:20,何かを読んでいる。,Mango
吉田1,00:38:09:22,00:38:25:05,論文の中、親子関係もそうだし、今の時代の宗教の問題もそうだし、政治の問題もそうですし、あるいは事件を書くっていうのもそうだし、いろんなものが詰まって。,Mango
みまき1,00:38:25:07,00:38:37:24,お隣の韓国はいろんな捜査が続いていて、大統領自身からあれは社会の中でも。,Mango
岡本1,00:38:38:01,00:38:41:11,見たらで、住んでいる日本はですよ、他。,Mango
吉田1,00:38:41:11,00:38:43:11,の国はね。,Mango
岡本1,00:38:43:13,00:38:52:05,宗教戦争をするのが。,Mango
