Speaker Name,イン点,アウト点,文字起こし,色選択
庭本,00:00:04:23,00:00:13:22,政治的なところで動いていくっていうお話なんですけど。,Caribbean
庭本,00:00:14:00,00:00:20:21,確かに政治っていうのはいろんな意味合いがあるかもしれません。,Caribbean
庭本,00:00:20:23,00:00:47:18,上の人たちにうまくいって、その関係性を築いて意見を通しやすくするっていうような活動だったりとか、ロビイング活動だったりとか、チャンピオンの活動だったりとかっていうのが。そうですね。文献でいうと1980年代の頃にも結構そういうのは戦略的に動く。そしてそれが政治的な部分を持つみたいなことは言われていて。,Caribbean
庭本,00:00:47:22,00:01:09:09,で、今もそういうのはあると思うんです。で、ただ何て言うか、こう、今回紹介したのは、それとはちょっと違うタイプの政治的な活動と言えるようなもので、これがじゃあ昔にはなかったことなのかっていうとそうではなくて、昔もあったんだと思うんです。,Caribbean
庭本,00:01:09:14,00:01:33:18,ただ、あまりこう明らかにされてこなかったっていうところを今回事例分析で明らかにしたという感じです。現象としてはたぶんあったんだけど、あんまりそういうことは公式には言わないものですし、組織としてもそういうところはあんまり取り上げはしないと思うんですね。,Caribbean
庭本,00:01:33:20,00:01:52:12,なのでそこを事例分析複数やって、そしてそれを共通しているものとかを抽出していって、カテゴリー化を図って、最後概念にしていくっていうような手法をとっているんですけれども、明らかにしました。,Caribbean
庭本,00:02:07:19,00:02:33:22,思いました？解散って言ったらもうダメだと思うんですけど、証拠っていうのはいろんな解釈ができると思うんですよね。その解釈を何て言うか、表向きの解釈と。でもこういう解釈もできるよねって数値って本当に？とか、なんでデータって本当にいろんな解釈ができるはずのものなんですよね、実は。,Caribbean
庭本,00:02:34:01,00:03:03:10,だから、そこに目をつけて、証拠っていうのを、こう、製品開発を進めにくくするような証拠として使うのではなくて、うまく推進していけるような証拠の方に持っていく努力をするっていうことです。そんなことが実は何か行われてるっていうのは、非常に何か私をびっくりっていうか興味深い発見事項でした。,Caribbean
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
庭本,00:03:14:12,00:03:50:07,組織の目的と個人の動機っていうのはもう全然違うっていうのは、これはもう仕方ないと思うんですよね。つまり、組織の目的で行動、何かいい車をつくろうみたいな、そういう大きな目的があったとして、そこにすごいもう何かこう自分の人生をかけて入ってくる人って、創業者とか最初の起業した人はそうかもしれないですけど、後から入ってくる人って多分あまりそこまで意識してないっていうか。,Rose
庭本,00:03:50:09,00:04:05:01,そういう意味でちょっとずれてるねってことなんですか？むしろそこの会社に入ったら何かお給料高いよねとか、今度転職するときにそこの会社入っといた方がキャリアとしていいよねみたいな感じで入ってくる人は結構いると思うんですよね。,Rose
庭本,00:04:05:04,00:04:24:16,だから全然その何かずれてるなというか。で、そういう人達をマネジメントしていく。逆にその個人がその組織でうまくやっていくっていうためにはどうしたらいいのかなっていうことなんですが、その。,Rose
