Speaker Name,イン点,アウト点,文字起こし,色選択
渡部,00:00:16:22,00:00:18:04,そうですね。,Violet
渡部,00:00:18:06,00:00:20:22,最初お題をいただいたときに。,Violet
渡部,00:00:21:00,00:00:23:10,専門バカにならないためには。,Violet
渡部,00:00:23:11,00:00:27:20,どうすればいいですかっていうふうな形でお題をいただいたと。,Violet
渡部,00:00:27:22,00:00:29:02,思うんですね。,Violet
渡部,00:00:29:04,00:00:39:01,で、スペシャリストよりもジェネラリストを目指そうっていう、そういう動きが動きというか、そういう流れ。,Violet
渡部,00:00:39:01,00:00:39:17,がある。,Violet
渡部,00:00:39:18,00:00:41:17,中でのご質問だなと。,Violet
渡部,00:00:41:17,00:00:43:07,思ったんですが。,Violet
渡部,00:00:43:09,00:00:48:10,逆にその、私は研究をしていく中で。,Violet
渡部,00:00:48:12,00:00:49:16,やっぱり専門。,Violet
渡部,00:00:49:16,00:00:52:05,を極めている人を格好いいって。,Violet
渡部,00:00:52:05,00:00:56:07,思ってきたところがあるので。,Violet
渡部,00:00:56:08,00:00:57:19,専門バカではいけ。,Violet
渡部,00:00:57:19,00:00:58:03,ないの。,Violet
渡部,00:00:58:03,00:01:01:04,だろうかいうのは逆に。,Violet
渡部,00:01:01:06,00:01:04:15,考えてしまったんです。で、でも。,Violet
渡部,00:01:04:17,00:01:07:09,その後、確かに。,Violet
渡部,00:01:07:11,00:01:10:05,専門嫌な専門バカってのも。,Violet
渡部,00:01:10:05,00:01:10:21,いるなと。,Violet
渡部,00:01:10:21,00:01:11:15,は思ったんです。,Violet
渡部,00:01:11:16,00:01:25:09,ね。すごくかっこいいって思う。こう、専門究めてる憧れの先輩方ってたくさんいらっしゃるんですけど。言い方はアレですけど、このようになってはいけない。,Violet
渡部,00:01:25:10,00:01:30:13,なと思ってしまうような。,Violet
渡部,00:01:30:15,00:01:32:09,タイプの出会いも。,Violet
渡部,00:01:32:09,00:01:34:23,もしかしたらあったかもと思った時に。,Violet
渡部,00:01:35:01,00:01:38:19,何が違うんだろうなってのを考えたんですよね。,Violet
渡部,00:01:38:21,00:01:45:08,で、そうするとその専門バカというか、専門を極めるっていうことがネガティブ。,Violet
渡部,00:01:45:08,00:01:49:05,になる時って、何か専門極め。,Violet
渡部,00:01:49:05,00:01:53:00,てる人がそれ以外の人をバカにしちゃってる時かな。,Violet
渡部,00:01:53:00,00:01:59:17,って思ったんですよね。で、なのでこう。,Violet
渡部,00:01:59:19,00:02:01:02,スペシャリストに。,Violet
渡部,00:02:01:04,00:02:01:20,なるのは。,Violet
渡部,00:02:01:20,00:02:03:20,すごく私は素晴らしいことだ。,Violet
渡部,00:02:03:20,00:02:06:02,と思うんですけれども。,Violet
渡部,00:02:06:04,00:02:09:18,その自分とは違う。,Violet
渡部,00:02:09:18,00:02:10:08,専門を持っ。,Violet
渡部,00:02:10:08,00:02:16:17,てる人とか、専門家ではない人をバカにしてはいけないなっていうところ。,Violet
渡部,00:02:16:17,00:02:19:23,を思いまして。,Violet
渡部,00:02:20:01,00:02:24:14,その辺は最近私が読んだ本。,Violet
渡部,00:02:24:15,00:02:28:00,の中で、デボラヘルマン。,Violet
渡部,00:02:28:01,00:02:28:10,っていう。,Violet
渡部,00:02:28:10,00:02:30:11,人の。,Violet
渡部,00:02:30:13,00:02:32:23,差別はいつ悪質になるかっていう。,Violet
渡部,00:02:32:23,00:02:35:20,本があるんですけど、その中。,Violet
渡部,00:02:35:20,00:02:36:18,で言われてること。,Violet
渡部,00:02:36:18,00:02:39:13,なんかとも繋がるなと思ったんです。,Violet
渡部,00:02:39:15,00:02:44:15,で、それがどんなふうに繋がるかっていうと。,Violet
渡部,00:02:44:17,00:02:50:02,なんで差別が差別にも悪質なものとそうじゃないものがあるって話なんですけど。,Violet
渡部,00:02:50:04,00:02:59:03,どんな時に悪質になるかっていうと、やっぱり差別する時に差別されている人をこう貶めるような、何か価値。,Violet
渡部,00:02:59:03,00:03:00:01,がないもののように。,Violet
渡部,00:03:00:01,00:03:08:15,扱ってしまう時に、その差別は悪質だっていうことで、もらえる前に言っていて、で、それが同じように。,Violet
渡部,00:03:08:15,00:03:15:09,当てはまるなと思ってます。今な。なので、こう、専門専門バカっていう。,Violet
渡部,00:03:15:11,00:03:16:16,こう素晴らしい。,Violet
渡部,00:03:16:18,00:03:17:13,専門知識を。,Violet
渡部,00:03:17:13,00:03:25:06,持っている人が、それ以外の人の価値を貶めるような態度をとったり、何かそういうこと言ったりする時に。,Violet
渡部,00:03:25:06,00:03:25:22,その。,Violet
渡部,00:03:26:00,00:03:28:21,素晴らしい専門性が。,Violet
渡部,00:03:28:23,00:03:32:01,何だかな、悪いものになってしまうというか、専門バカ。,Violet
渡部,00:03:32:01,00:03:39:19,がネガティブに働いてしまうってことだなと思って、そんなことをお題いただいた後に。,Violet
渡部,00:03:39:19,00:03:41:04,考えてました。,Violet
渡部,00:04:43:21,00:04:46:22,そうですね。,Violet
渡部,00:04:47:00,00:04:51:13,確かにすごくこう細分化されてしまって、かつお互い没交渉になって。,Violet
渡部,00:04:51:13,00:04:53:21,しまっているっていう。,Violet
渡部,00:04:53:23,00:05:03:12,それがなぜ起こるかっていうと、もしかするとその全ての領域の抽象度がどんどん上がって、お互いこう、何を見ているんだか、何を言ってるんだ。,Violet
渡部,00:05:03:12,00:05:04:06,かっていうのを。,Violet
渡部,00:05:04:11,00:05:05:12,翻訳しづらく。,Violet
渡部,00:05:05:13,00:05:06:20,なっているっていう。,Violet
渡部,00:05:06:22,00:05:08:15,そういう状況は。,Violet
渡部,00:05:08:17,00:05:11:06,あると思います。で。,Violet
渡部,00:05:11:08,00:05:29:06,おっしゃってくださったように、科学技術社会論っていうのは、そういう、その、こう分化してしまった、蛸壷化してしまった領域同士をどうやって結びつけるかっていうこともそうですし、あとは専門家とそれ以外の人をどうやっ。,Violet
渡部,00:05:29:06,00:05:29:17,てこう。,Violet
渡部,00:05:29:23,00:05:31:13,結びつけるかっていうこと。,Violet
渡部,00:05:31:13,00:05:31:21,も。,Violet
渡部,00:05:32:03,00:05:37:23,その研究の対象にしたり、研究に基づいた実践を行ってきたりした領域では。,Violet
