Speaker Name,イン点,アウト点,文字起こし,色選択
服部,00:03:57:07,00:04:08:28,僕の趣味が英会話なんですよ。英語を勉強が趣味で、それでフィリピン人と会話をして勉強をもうかれこれ10年以上している。,Teal
師田,00:04:09:03,00:04:10:25,に長いですね。付き合いがあって、その。,Teal
服部,00:04:10:25,00:04:22:27,中でみんなをってのにも僕は関心を持っているというのも、本に記載されていた通り、フィリピンで分断されている感じがあって。,Teal
師田,00:04:23:04,00:04:23:10,です。,Teal
服部,00:04:23:10,00:04:45:16,ね。普通に英会話をフィリピン人とすると、ルソン地域とかそういうセブとか、そういう地域の人たちと会話をすることが多いんですけど、ミンダナオって人たちを1段下に見ているなとか、ちょっと差別があるなってのを感じます。どこかで感じたんですよ。,Teal
服部,00:04:45:19,00:04:55:06,そこから意図してミンダナオの人と会話をするようにして、彼らがどう思っているかというのを結構聞くようにしたんですね。,Teal
師田,00:04:55:07,00:04:56:12,面白いですね。,Teal
服部,00:04:56:14,00:05:07:23,その中で僕なりにミンダナオに対しての何か知り合いというか話した経験もあって、それが。,Teal
服部,00:05:07:25,00:05:16:10,ミンダナオに行くというのが結構だから、地域的にもそうないうか、ちょっと彼らでも危ないっていうのを持っているんです。,Teal
師田,00:05:16:12,00:05:22:14,何かフィリピン国内の人たちの方がみんなの治安が悪いから行かない方がいいよって言うんですよね。,Teal
服部,00:05:22:14,00:05:26:15,そう。だからそれを。,Teal
服部,00:05:26:17,00:05:31:22,やっている、研究してる人がいるんだなって思ったってことですね。,Teal
師田,00:05:31:24,00:05:36:17,ミンダナオからまずそんなご関心があったなんて。,Teal
服部,00:05:36:19,00:05:50:27,鶏が戦う話をしてるわけですよね。あれもフィリピン人と普通に英会話してると、日常的に後ろに鶏の音があるんですよ。,Teal
服部,00:05:51:00,00:05:56:03,何をなんで鶏飼ってるんですか？みたいな話をすると、いや、そういうのがある。,Teal
師田,00:05:56:03,00:05:58:00,んだよと。,Teal
服部,00:05:58:02,00:06:00:15,いうので、僕はなんて。,Teal
師田,00:06:00:15,00:06:02:08,残酷な。,Teal
服部,00:06:02:10,00:06:07:08,なんだと思いましたけど、これが研究対象にする人。,Teal
師田,00:06:07:08,00:06:12:06,がいるんだっていうのは。,Teal
服部,00:06:12:08,00:06:13:17,関心を持ちますと。,Teal
師田,00:06:13:20,00:06:31:21,鶏、別に鶏は元々全然興味なかったんですけど、うるさいし、でもまず本当にフィリピン人の家の結構な確率で鶏を飼ってる場合が多いので、鶏に対する。,Teal
服部,00:06:31:24,00:06:34:02,これ卒論のテーマで見に行ったんです。,Teal
師田,00:06:34:02,00:06:41:26,よね。そうです。卒論を書くために現地に行ってこいって言われて、ミンダナオに行って。,Teal
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
服部,00:08:35:22,00:08:36:27,今どういう研究してるんですか？,Purple
師田,00:08:37:02,00:08:41:21,今も今も引き続き鶏の話とか。,Purple
服部,00:08:41:24,00:08:43:29,現地に行ってる行っているんですか？,Purple
師田,00:08:44:02,00:08:49:13,去年と違う。先月8月も行ってました。,Purple
服部,00:08:49:16,00:08:53:20,鶏私も2回行ったんですけど、もう行ってないですね。,Purple
師田,00:08:53:22,00:09:01:12,なかなか仕事なので行かざるを得ないという感じになってますけど、結構他の国も行きたい。,Purple
服部,00:09:01:14,00:09:05:10,というか。フィリピン人って英語すごいうまいじゃないです。,Purple
師田,00:09:05:10,00:09:07:05,すごいです。,Purple
服部,00:09:07:07,00:09:16:00,でも、なんでこんなに貧しい国なんだろうって。僕がフィリピンについて思うことですけれども。,Purple
師田,00:09:16:02,00:09:56:26,英語に限らずすごい日本に暮らしてるフィリピンの人も日本語すごく上手ですけど、なんか語学が達者で。だから本当にもうすごい色んなところに移民として出稼ぎ、出稼ぎしに行くんですよね。それが本当にもうGDPの2割とか海外送金くらいで。だからまず国内に仕事がないし、資源がないっていうのをすごいよく言われていて、だからもう人的資源を外に出して、そこの外からもうそういう資源を取ってくるしかないみたいな。,Purple
服部,00:09:56:29,00:10:20:26,結構、だから話した時間はすごい長いので、フィリピンに関しては何かもうちょっとだから、多分今回賭博というかリスクというか、そういう話をした方がいいかも。だから、文化人類学というのと経済学ってそもそもどのぐらい接点を持つと。,Purple
師田,00:10:20:29,00:10:28:19,一応文化人類学の中で経済人類学っていうのがあるんですよね。,Purple
師田,00:10:28:22,00:10:33:01,いわゆる。,Purple
師田,00:10:33:03,00:10:44:08,市場でどういう風に商人が物を売ってるかとか買ってるかとかっていう話をしてる人とかもいるし。あとカフェが。,Purple
師田,00:10:44:10,00:10:55:29,複数社会に世界ではある社会では複数貨幣があったりとか、あと皆買いとか、そういう意味じゃなくて、なんだろうな。,Purple
師田,00:10:56:02,00:11:12:01,と、貨幣であること以上に意味を持ってる貨幣があるとか、そういうのを研究をしている人たちとか、まあまあ言って、私も最近なんかそういうちょっと経済人類学をやっていこうかなと。,Purple
服部,00:11:12:04,00:11:18:07,考えている。いわゆる経済学者とはあんまり話さないです。,Purple
師田,00:11:18:09,00:11:31:25,多分、経済人類学やってる人はもちろん経済学の人たちの本をたくさん読むんだと思うんですけど、実際それを現地で、社会でどうなっているかみたいなのを見に行ってるんじゃないかなって。,Purple
服部,00:11:31:28,00:11:34:15,なるほど。,Purple
服部,00:11:34:17,00:11:44:01,僕は学部時代は社会学とかが結構好きだったんですよ。だからこの本の中で三田先生の。,Purple
師田,00:11:44:03,00:11:45:29,引用してて。,Purple
服部,00:11:46:02,00:11:48:13,こういうのも読みました。人通り。,Purple
師田,00:11:48:15,00:11:49:24,ただ商学部ですよね。,Purple
服部,00:11:49:24,00:12:22:02,でも、そうですそうです。それで、ただ経済学の方がいいというふうに僕は思ってしまって、ちょっと失礼になっちゃうかもしれないんですけど、社会学とかは何か。国際的な広がりがないって言い方をすると間違いかもしれないけれども、経済学ってどこの国でも英語をベースに同じ方法論で教えるんです。,Purple
服部,00:12:22:04,00:12:49:02,どの方法によっても法って国際的な。何かナレッジをみんなで積み木を何か乗っけて山を作っていくみたいなことをやっている学問で、それに対して社会学とか日本の文系の学問の少なくない量は自分僕らの領域でいうとこういう表現だみたいな。,Purple
服部,00:12:49:09,00:12:49:20,はいはい。,Purple
師田,00:12:49:20,00:12:54:29,はいはい、結構クローズド。そう、そうですね。,Purple
服部,00:12:55:02,00:13:02:02,そうすると、そこに当時の僕は発展的な広がりが少ないんじゃないかと思っちゃって。,Purple
師田,00:13:02:04,00:13:03:25,なるほど。,Purple
服部,00:13:03:27,00:13:11:07,それで経済学がいいなっていう風になりましたね。,Purple
師田,00:13:11:09,00:13:16:24,それか理論が好きだからとかそういう話ではないんです。,Purple
服部,00:13:16:26,00:13:24:22,理論が好きだいうのもあったんですけど、やっぱり。,Purple
服部,00:13:24:25,00:13:29:05,そうですね。,Purple
服部,00:13:29:08,00:13:35:27,やっぱり今思うと、その後に、だから目立った社会学者とかどうですか？誰ですか？,Purple
師田,00:13:36:03,00:13:37:29,って。,Purple
服部,00:13:38:01,00:13:43:17,経済学者ってどんどん研究の領域を広げていって。,Purple
師田,00:13:43:19,00:13:45:16,それこそ幻想とかあります。,Purple
服部,00:13:45:19,00:14:01:13,結婚とか、要は従来取り扱わないようなことも取り扱ってるし、方法論がはっきりしているが故、出てくる提案とかに自然にはないっていうか、経済学者が言いそうな提言。,Purple
