filename,number,role,character,text
projects/OrionEp12/サウンド類/Narration/OrionEp12-001-NA.mp3,001,NA,NA,「今日の瞑想スコア85点！」という通知に、違和感を感じませんか？
projects/OrionEp12/サウンド類/Narration/OrionEp12-002-NA.mp3,002,NA,NA,この数値化は、進歩の証なのか、それとも本質からの逸脱なのか？
projects/OrionEp12/サウンド類/Narration/OrionEp12-003-NA.mp3,003,NA,NA,空を説いた般若心経と、マインドフルネス産業の批判者が問う、『測れない価値』と向き合う8分間。
projects/OrionEp12/サウンド類/Narration/OrionEp12-004-NA.mp3,004,NA,NA,昼休みのオフィスビル、12階の瞑想ルーム。薄暗い照明、アロマの香り、そしてスマホから流れる電子音。
projects/OrionEp12/サウンド類/Narration/OrionEp12-005-NA.mp3,005,NA,NA,「今日のマインドフルネス、残り3分です」
projects/OrionEp12/サウンド類/Narration/OrionEp12-006-NA.mp3,006,NA,NA,瞑想の質を測定し、生産性向上を約束するアプリ。でも、心を空にしようとすればするほど、雑念が湧いてくる。
projects/OrionEp12/サウンド類/Narration/OrionEp12-007-NA.mp3,007,NA,NA,ようこそ、オリオンの会議室へ。今夜のテーマは「瞑想アプリの違和感」。
projects/OrionEp12/サウンド類/Narration/OrionEp12-008-NA.mp3,008,NA,NA,今夜結ぶのは、こんな星座。
projects/OrionEp12/サウンド類/Narration/OrionEp12-009-NA.mp3,009,NA,NA,「色即是空」を説いた般若心経、宗教体験を研究したウィリアム・ジェイムズ、禅を西洋に伝えた鈴木大拙、脳の可塑性を発見した神経科学者たち、そしてマインドフルネス産業の批判者たち——
projects/OrionEp12/サウンド類/Narration/OrionEp12-010-NA.mp3,010,NA,NA,効率と無為、測定と体験、商品と悟り。相反する星々が、現代の瞑想室でひとつの物語を紡ぎ始めます。
projects/OrionEp12/サウンド類/Narration/OrionEp12-011-NA.mp3,011,NA,NA,月曜日の朝、全社ミーティング。
projects/OrionEp12/サウンド類/Narration/OrionEp12-012-DL.mp3,012,DL,人事部長,「ウェルビーイング向上施策として、全社員にマインドフルネスアプリを配布します」
projects/OrionEp12/サウンド類/Narration/OrionEp12-013-NA.mp3,013,NA,NA,年間利用料12万円。瞑想時間、心拍変動、ストレスレベルを測定し、AIコーチが最適な瞑想法を提案。
projects/OrionEp12/サウンド類/Narration/OrionEp12-014-DL.mp3,014,DL,同僚,「瞑想までノルマになるの...？」
projects/OrionEp12/サウンド類/Narration/OrionEp12-015-NA.mp3,015,NA,NA,スマホ画面には今週の瞑想時間ランキング。部署対抗の瞑想チャレンジ。「マインドフル・マンデー」の義務化。
projects/OrionEp12/サウンド類/Narration/OrionEp12-016-NA.mp3,016,NA,NA,瞑想は心を休めるはずなのに、なぜか新しいタスクが増えただけのような——
projects/OrionEp12/サウンド類/Narration/OrionEp12-017-NA.mp3,017,NA,NA,紀元前5世紀、インド。菩提樹の下で悟りを開いた釈迦。その教えは、後に般若心経として結晶化されました。
projects/OrionEp12/サウンド類/Narration/OrionEp12-018-DL.mp3,018,DL,般若心経,「色即是空、空即是色」
