filename,start_sec,duration_sec,role,character,text,gap_after_sec
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-001-NA.mp3,0.500,5.808,NA,NA,リモートワークの実家も、久々のオフィスも、どこか居心地が悪い。,0.474
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-002-NA.mp3,6.782,7.728,NA,NA,その「どこにも属せない」感覚は、喪失でしょうか？それとも、解放でしょうか？,0.798
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-003-NA.mp3,15.308,5.736,NA,NA,これは、失われた「居場所」をめぐる、8分間の知的旅行。,0.458
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-004-NA.mp3,21.502,3.264,NA,NA,ようこそ、オリオンの会議室へ。,0.410
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-005-NA.mp3,25.176,4.704,NA,NA,今夜、空に結ぶのは、風変わりな星々。,0.422
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-006-NA.mp3,30.302,5.424,NA,NA,10年の漂流の果てに故郷を見失った英雄——オデュッセウス。,0.466
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-007-NA.mp3,36.192,6.312,NA,NA,「同じ川には二度入れない」と看破した賢者たち——釈迦とヘラクレイトス。,0.490
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-008-NA.mp3,42.994,6.456,NA,NA,「郷愁」という名の病を発見した17世紀の医師——ヨハネス・ホーファー。,0.490
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-009-NA.mp3,49.940,6.384,NA,NA,そして、紅茶とマドレーヌで過去を呼び覚ました作家——マルセル・プルースト。,0.498
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-010-NA.mp3,56.822,6.648,NA,NA,時代も大陸も超えた彼らが、「帰属」という見えない糸で結ばれていきます。,0.490
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-011-NA.mp3,63.960,4.680,NA,NA,週に2日の出社。久しぶりのオフィス。,0.422
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-012-NA.mp3,69.062,4.200,NA,NA,エレベーターの中で、見慣れない顔と目が合う。,0.438
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-013-DL.mp3,73.700,3.456,DL,同僚,「あれ、コピー機の場所、変わった？」,0.972
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-014-NA.mp3,78.128,5.808,NA,NA,自分のデスクはあるけれど、引き出しの中身が他人事のように見える。,0.478
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-015-NA.mp3,84.414,2.640,NA,NA,実家でのリモートワーク。,0.398
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-016-NA.mp3,87.452,4.584,NA,NA,子供の頃の部屋で、Zoom会議に出ている違和感。,0.446
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-017-NA.mp3,92.482,5.760,NA,NA,画面に映る本棚には、高校時代の参考書がまだ並んでいる。,0.458
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-018-DL.mp3,98.700,2.688,DL,母親,「お昼、何か作ろうか？」,0.948
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-019-NA.mp3,102.336,3.888,NA,NA,優しさが、かえって居心地の悪さを生む。,0.426
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-020-NA.mp3,106.650,5.184,NA,NA,ここは故郷のはずなのに、もう帰る場所じゃないのかもしれない。,0.470
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-021-NA.mp3,112.304,3.792,NA,NA,紀元前8世紀頃、古代ギリシャ。,0.410
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-022-NA.mp3,116.506,7.128,NA,NA,『オデュッセイア』の英雄オデュッセウスは、トロイア戦争を終え、故郷イタケを目指しました。,0.526
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-023-NA.mp3,124.160,3.936,NA,NA,しかしその帰路は、10年にも及びます。,0.426
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-024-NA.mp3,128.522,5.208,NA,NA,女神カリュプソの島で7年、魔女キルケーの館で1年。,0.450
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-025-NA.mp3,134.180,6.048,NA,NA,安住を与えられながら、それを自ら手放し、旅を続けたのです。,0.466
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-026-DL.mp3,140.694,6.816,DL,オデュッセウス,「私は故郷を恋い慕う。だが、この冒険もまた、私の一部となった」,0.724
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-027-NA.mp3,148.234,3.864,NA,NA,帰りたい。でも帰りたくない。,0.406
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-028-NA.mp3,152.504,5.952,NA,NA,戦士として変わってしまった自分は、もう平和な島の王には戻れない。,0.478
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-029-NA.mp3,158.934,9.744,NA,NA,やっと故郷にたどり着いた時、息子は成人し、妻ペーネロペーは20年待ち続けた夫をすぐには信じませんでした。,0.558
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-030-NA.mp3,169.236,4.224,NA,NA,二人だけの秘密で、ようやく再会を果たす。,0.430
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-031-NA.mp3,173.890,3.624,NA,NA,場所には戻れても、時間は戻らない。,0.418
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-032-NA.mp3,177.932,5.928,NA,NA,変わってしまった二人が、新しい物語を始める必要があったのです。,0.474
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-033-NA.mp3,184.334,3.456,NA,NA,地球の反対側、古代インド。,0.402
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-034-NA.mp3,188.192,4.824,NA,NA,釈迦は川の流れを見つめながら、弟子たちに語りました。,0.454
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-035-DL.mp3,193.470,5.064,DL,釈迦,「一切行は無常なり。生じたものは必ず滅する」,0.688
