filename,start_sec,duration_sec,role,character,text,gap_after_sec
projects/OrionEp2/サウンド類/Narration/OrionEp2-001-NA.mp3,0.500,7.536,NA,NA,リモートワークの実家も、久々のオフィスも、どこか居心地が悪いと感じたことはありませんか？,0.826
projects/OrionEp2/サウンド類/Narration/OrionEp2-002-NA.mp3,8.862,6.000,NA,NA,「どこにも属せない」感覚は、喪失なのか、それとも解放なのか？,0.770
projects/OrionEp2/サウンド類/Narration/OrionEp2-003-NA.mp3,15.632,9.432,NA,NA,10年の漂流を終えた英雄と、『ノスタルジア』という名の病、そして本当の『居場所』への8分間の旅。,0.542
projects/OrionEp2/サウンド類/Narration/OrionEp2-004-NA.mp3,25.606,11.880,NA,NA,都心のカフェ。ノートPCを開く人々。隣のテーブルとの距離は1メートル。でも、心の距離は無限に遠い。,0.546
projects/OrionEp2/サウンド類/Narration/OrionEp2-005-NA.mp3,38.032,11.376,NA,NA,「今日はどこで仕事する？」——この問いが日常になった時代。私たちは自由を手に入れたはずなのに、なぜか漂流している気がする。,0.894
projects/OrionEp2/サウンド類/Narration/OrionEp2-006-NA.mp3,50.302,6.936,NA,NA,ようこそ、オリオンの会議室へ。今夜のテーマは「帰れない私たち」。,0.478
projects/OrionEp2/サウンド類/Narration/OrionEp2-007-NA.mp3,57.716,3.240,NA,NA,今夜結ぶのは、こんな星座。,0.402
projects/OrionEp2/サウンド類/Narration/OrionEp2-008-NA.mp3,61.358,12.312,NA,NA,10年の漂流を経験した英雄オデュッセウス、無常を説いた釈迦、19世紀に「ノスタルジア」を病名とした医師たち、失われた時を求めたプルースト——,0.630
projects/OrionEp2/サウンド類/Narration/OrionEp2-009-NA.mp3,74.300,7.032,NA,NA,時代も大陸も越えた星々が、「帰属」という見えない糸で結ばれていきます。,0.490
projects/OrionEp2/サウンド類/Narration/OrionEp2-010-NA.mp3,81.822,4.800,NA,NA,週に2日の出社日。久しぶりのオフィス。,0.426
projects/OrionEp2/サウンド類/Narration/OrionEp2-011-DL.mp3,87.048,3.264,DL,同僚A,あれ、コピー機の場所、変わった？,0.964
