Speaker Name,イン点,アウト点,文字起こし,色選択
森山,00:05:05:25,00:05:16:26,あとは多分迷うから、ちょっと早めに来てたり。妙見山大陸に行きます。タリーズであったり。,Violet
成田,00:05:16:29,00:05:18:22,かなり昔から。,Violet
森山,00:05:18:24,00:05:21:07,そうですか。,Violet
成田,00:05:21:10,00:05:24:20,これ絶対なんないって思ってる。,Violet
森山,00:05:24:22,00:05:43:08,何か全然変なとこに行くこともないんですけど、でも何かこういう約束してる時に限って反対側に行ったりするので、ちょっと早めに。,Violet
森山,00:05:43:11,00:05:46:29,デパートを出た瞬間は右か左か分かんなくなりますよね。,Violet
成田,00:05:47:01,00:05:51:23,1週間な。,Violet
成田,00:05:51:25,00:06:02:05,自分では自信満々にここからっていうところから出たつもりなのに、全然違う。そもそも。,Violet
森山,00:06:02:07,00:06:09:29,それはありますので、それはパニクリます。,Violet
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
森山,00:25:10:07,00:25:27:21,隅田川とか公園に言及するんですよね。そうできると、公園に話を少しだけすると、公園はまあで、でも公園。,Caribbean
成田,00:25:27:23,00:25:31:27,は最近砂場ないらしい。,Caribbean
Speaker 2,00:25:31:29,00:25:33:12,あるところありますけど。,Caribbean
森山,00:25:33:14,00:25:35:24,囲われてます。で、本当だ。,Caribbean
成田,00:25:35:27,00:25:45:12,と遊ぶ子供とか自由自在で、それこそ猫も犬もトイレのように使ってた。,Caribbean
森山,00:25:45:14,00:25:46:05,そうですよね。,Caribbean
Speaker 2,00:25:46:06,00:25:48:18,そうすると、そのために囲われているというか。,Caribbean
森山,00:26:29:26,00:26:34:17,やっぱり囲うと綺麗なんですよ。,Caribbean
成田,00:26:34:19,00:26:37:12,砂場が。,Caribbean
成田,00:26:37:15,00:26:48:08,私がに。,Caribbean
森山,00:26:48:10,00:27:04:20,そういう時代なんですね。なるほど。そうなんです。いやーでもね、うちの近くは少なくともこういうのはないですよ。開放されてますね。普通にありますね。,Caribbean
成田,00:27:04:22,00:27:12:26,これ何か定期的に下がっています。もしかして。,Caribbean
森山,00:27:12:28,00:27:17:19,だってね、明らかにこう触ったところが分かるぐらい。,Caribbean
森山,00:27:17:21,00:27:23:16,整地されているね。,Caribbean
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_2
成田,00:06:58:03,00:07:01:09,今私はアカデミアから離れちゃったので。,Rose
森山,00:07:01:11,00:07:02:03,ああ。,Rose
成田,00:07:02:06,00:07:07:12,最近の大学前まではポスドクとかも。,Rose
森山,00:07:07:18,00:07:08:26,ああ、はいはい。,Rose
成田,00:07:08:28,00:07:11:26,もう10年経つと全然分かんなくて。,Rose
森山,00:07:11:28,00:07:16:17,そうですね。,Rose
成田,00:07:16:19,00:07:18:24,生活って昔。,Rose
森山,00:07:18:26,00:07:41:02,と変わらないので、変わらない気は変わんないんですけど、でも気持ちの持ち次第では変わらないんだけど、全体の8割は。だから変わったってことですね。全体の雰囲気は結構変わってて、なんだろうな、あんまりアバウトなことはできなくなっちゃいましたね。,Rose
森山,00:07:41:04,00:07:42:03,そんな感じ。,Rose
成田,00:07:42:06,00:07:43:25,で基礎できないじゃない。,Rose
森山,00:07:43:25,00:07:56:15,ですか。大学しか基礎できないはずなんですけど、あんまり文句言うと怒られそうで怖いんですけど。でもちょっと冗談で。,Rose
森山,00:07:56:18,00:08:03:19,昔よりはちょっとなんだろうな、やっぱり社会がちゃんとしてきてるので。,Rose
森山,00:10:59:01,00:11:06:24,今、企業ってことですけど。,Yellow
森山,00:11:06:27,00:11:10:04,民間の研究所、民間の企業。,Yellow
成田,00:11:10:04,00:11:11:12,の。,Yellow
森山,00:11:11:14,00:11:12:23,研究部門。,Yellow
成田,00:11:12:25,00:11:15:15,そう研究部門だったはずなんです。,Yellow
