Speaker Name,イン点,アウト点,文字起こし,色選択
庭本,00:00:44:20,00:01:21:11,これはジェネラリスト特定の専門性を持たずに、職種、仕事っていうのをこう頻繁に横断的に移動していくような人々ゼネラリストですよねの方がにとっては専門性を持っていないのではないか。特に近年の言われるので言うと、エンプロイアビリティ市場に通用するようなスキルを持っていないんじゃないか、みたいなことがよく言われるわけですよね。,Violet
庭本,00:01:21:11,00:01:47:03,で、一方で、じゃあスペシャリスト、このある特定の専門性を持ってずっとキャリアを積んでいくっていうような人達にとっては、その人達はその人達で何を言われるかというと、全体の目線がないとか、その専門的なスキルはあるんだけど、じゃあ実際の仕事でどう応用していくのかって言った時に少し困ってしまうってことが言われる。,Violet
庭本,00:01:47:09,00:02:14:21,なので、そのジェネラリスト側、スペシャリスト側どちらにも言われる問題なのかなと思っています。で、ただ、この近年、専門性が重要だと言われる世の中になってきているので、どちらかというとこの問題でより深刻に感じておられるのはジェネラリストの方々なのかなという印象です。,Violet
庭本,00:02:14:22,00:03:06:19,はい。で、そうそうですね。ただジェネラリストって言うのはここ何て言うんでしょう、日本企業の中では、例えばこの2000年代初頭の研究でも約3割ぐらいの方が熱い人と言われていて。で、同時に興味深いのは、同じぐらいの3割の人達は。種の職能っていうのをずっと長い間経験されてこられて、加えて少しサブで職能を異動して経験するっていう就職のプラスサブ職能型の人材も約3割ぐらいジェネラリストと同程度いらっしゃる。,Violet
庭本,00:03:06:19,00:03:33:04,で、残りがもうスペシャリストみたいな人材構成であるっていうことは、2000年代初頭の研究でも言われていました。で、これを今風のビジネス的な言葉で言うと、型人材就職のプラス復職の方の人材ですねっていうのがある程度数字にしたら割といるんじゃないか。,Violet
庭本,00:03:33:05,00:03:46:09,約3割ぐらいの方達は昔からいらっしゃったっていうのは、実はその研究結果から明らかになってるところです。はい。,Violet
庭本,00:04:18:22,00:04:47:10,専門職だったり、システムエンジニアみたいな、もう本当にスキルがある。ある程度この明確要求されるスキルが明確な人たちっていうのはある程度やっぱりいて、それの人はスペシャリストなんだと思うんですけど。で、それ以外の文系人材はやっぱりこの会社に入って、その会社から言われたことを頑張って取り組んでいって、色んな異動を経験する。,Violet
庭本,00:04:47:12,00:05:08:23,で、その中で管理職に上がっていくっていうようなことですよね。そうすると、特定の専門的なスキルっていうよりかは、調整するスキルがあったりとか、それは事前の調整もありますし、何か問題が起こった後の事後的な処理調整能力っていうのもありますし、他部署との連携能力みたいな。,Violet
庭本,00:05:09:04,00:05:20:19,こういうのは専門性というよりかは、総合的に組織の中でうまくやっていくためには必要なスキルっていうことで、これはジェネラリストにすごく要求される大きなものだと思いますけれども。,Violet
庭本,00:06:50:12,00:07:25:09,例を2つぐらい挙げさせていただくと、今お話でも出てきた人事のところでいうと、人事はある意味、人事畑でずっとキャリアを積んだらスペシャリストなわけですけれども、そういう方も結構多かったと思うんですね。人事の知識ってやっぱり非常に専門性が高く、もうちょっとそこでやってないと通用しないというかっていうようなものだったわけですけど、近年、人事管理の分野でも戦略と人事を連動させていきましょう。,Violet
